서울덕수초등학교,서울시 중구 퇴계로22길 17,02-735-7225 
서울동부지방법원 본관,서울시 광진구 아차산로  404,
푸르미어린이집,서울시 양천구 남부순환로67길 10-6,02-2605-6529
신정7동주민센터,서울시 양천구 목동동로 37,02-2620-4305
휘경2동 주민센터,서울시 동대문구 한천로 329,02-2171-6442
신창파출소,서울시 도봉구 도봉로104길 49-5,02-995-9278
화곡4동우체국,서울시 강서구 곰달래로  265,02-2653-0004
성내초등학교,서울시 강동구 성내로3길 19,02-470-6354
은로초등학교,서울시 동작구 서달로 115,02-824-0309
동서한방병원,서울시 서대문구 성산로 365-14,02-320-7810
문창초등학교,서울시 동작구 신대방2길 14,02-836-2031
덕수유치원,서울시 성북구 성북로 127,02-3675-5164
메디힐병원별관,서울시 양천구 남부순환로 330,02-2604-7551
서울신자초등학교,서울시 광진구 뚝섬로46길 64,02-450-5600
서울면일초등학교,서울시 중랑구 용마산로100길 13,02-437-8112
경수초등학교,서울시 성동구 뚝섬로13길    22,02-498-5123
한영중학교,서울시 강동구 동남로 832,02-468-0565
대은초등학교,서울시 은평구 통일로69길 12-15,02-388-0833
수색초등학교,서울시 은평구 수색로16길 21,02-372-8286
장곡초등학교,서울시 성북구 장월로23길  16,02-918-8494
가인초,서울시 도봉구 도봉로136다길 4,02-997-5826
고명정보산업고등학교,서울시 성북구 북악산로  870,02-926-2886
봉현초등학교,서울시 관악구 성현로  117,02-885-9209
장위1치안센터,서울시 성북구 장위로  82,02-915-3301
금호4가동주민센터,서울시 성동구 독서당로52가길  2,02-2286-7381
한국전력공사,서울시 동작구 동작대로 19,02-580-2251
고려대학교장례식장,서울시 성북구 안암로 148,02-923-4442
상도3동주민센터,서울시 동작구 성대로2길 11,02-822-1005
삼전초등학교,서울시 송파구 백제고분로28길 19,02-415-8701
이마트 창동점,서울시 도봉구 노해로65길  4,02-901-1234
서울금동초등학교,서울시 금천구 금하로30길 53,02-809-2125
진예슬 어린이집,서울시 강남구 논현로158길 19,02-3453-5638
둥근달어린이집,서울시 도봉구 도봉로117길 80-7,02-990-0121
자양제2동주민센터,서울시 광진구 자양로3가길 28,02-450-1511
거여1동주민센터,서울시 송파구 오금로53길 32,02-2147-4060
중화2치안센터,서울시 중랑구 중랑천로 146,02-434-8768
연천중학교,서울시 은평구 연서로41길 30,02-354-0514
랭콘잉글리쉬 명성학원,서울시 은평구 연서로 296,02-353-7070
대림정보문화도서관,서울시 영등포구 도신로 27,02-828-3700
행복한 도서관,서울시 강남구 학동로 426,02-567-3833
꿀벌어린이집,서울시 광진구 아차산로40길 72,
서울과학기술대학교(중앙도서관),서울시 노원구 공릉로 232,02-970-6156
에이스하이엔드타워8차,서울시 금천구 가산디지털1로  84,
홈플러스 금천점,서울시 금천구 시흥대로 391,02-890-8000
신정1동주민센터,서울시 양천구 중앙로32길 1,02-2620-4190
월드컵지구대,서울시 마포구 월드컵북로30길 24,02-373-1113 
신촌지구대,서울시 서대문구 신촌로 22,02-363-0469 
사당1동주민센터,서울시 동작구 동작대로17길 28,02-582-8582
롯데시네마 씨티(강남),서울시 강남구 역삼동 816,
서초1동주민센터,서울시 서초구 사임당로18길  18,02-2155-7401
자양제3동주민센터,서울시 광진구 자양번영로 80,02-450-1512
메가박스 상봉,서울시 중랑구 망우로30길 3,1544-0070
오금동우체국,서울시 송파구 동남로 344,02-431-2003
송파1동주민센터,서울시 송파구 백제고분로 32,02-2147-4300
시흥우체국,서울시 금천구 시흥대로 217,02-802-0205
잠실본동주민센터,서울시 송파구 백제고분로15길 ,02-2147-4600
상봉지구대,서울시 중랑구 중랑천로 69,02-433-1675
CGV대학로,서울시 종로구 새문안로 75,1544-1122
은천동우체국,서울시 관악구 봉천로27길 62,02-886-2005
화곡3파출소(푸른들도서관),서울시 강서구 강서로45다길 71,02-2691-1630
압구정갤러리아백화점EAST,서울시 강남구 압구정로 407,02-3449-4114
상봉2동주민센터,서울시 중랑구 봉우재로 93-5,02-2094-6280
성내3동 주민센터,서울시 강동구 강동대로53길 76,02-3425-7820
종로보건소,서울시 종로구 자하문로19길 36,02-2148-3520
충무파출소,서울시 중구 중림로 36,02-2278-7710
이진아기념도서관,서울시 서대문구 통일로  279-79,02-360-8600
옥정중학교,서울시 성동구 한림말길 11,02-2297-4604
한영신학 대학교,서울시 구로구 경인로 290-42,02-2067-4500
KNK디지털타워,서울시 영등포구 영신로  220,02-858-3650
구립해바라기어린이집,서울시 양천구 목동동로1길 33,070-7704-5798
강서공고,서울시 강서구 방화대로47길 9,02-2666-2106
경복고등학교,서울시 종로구 자하문로28가길 9,02-735-3086
구립로야어린이집,서울시 동작구 상도로62길 87,02-882-2246
경문고등학교,서울시 동작구 동작대로 171,02-535-1301
튼튼병원,서울시 은평구 은평로 200-1,
위너스MD학원(프레스티지 빌딩),서울시 강남구 논현로168길 40,02-557-9958
능동주민센터,서울시 광진구 천호대로112길 55,02-450-1505
강동구청,서울시 강동구 성내로 25,1577-1188
서대문보건소(서대문구청 별관),서울시 서대문구 연희로 242,02-330-1802
펠리스어린이집,서울시 영등포구 대림로31가길 16,
삼청동주민센터,서울시 종로구 삼청로 107,02-2148-5063
광진청소년수련관,서울시 광진구 구천면로 2,02-2204-3100
꼬마사랑어린이집,서울시 중랑구 봉우재로6길 9,02-432-0097
서울대학교롯데국제교육관,서울시 관악구 관악로 1,
창문여자중학교,서울시 강북구 월계로 61,02-986-1703
은혜삐아제어린이집,서울시 중랑구 답십리로81길 130,02-435-5956
무지개어린이집,서울시 은평구 불광로 162-9,02-389-2131
명지전문대학(금회:사회교육관),서울시 서대문구 가좌로 134,02-300-1000
구립우정어린이집,서울시 서대문구 연희로8길  21,
경인고등학교,서울시 구로구 경인로46길 31,02-2618-3043
중랑경찰서,서울시 중랑구 중랑역로  137,02-977-0112
글샘어린이집,서울시 동대문구 천호대로35길 39,
서울사이버대학,서울시 강북구 솔매로49길 60,02-944-5000
고산초등학교,서울시 구로구 중앙로 6,02-2617-0591
하람어린이집,서울시 강북구 인수봉로42길 23,
위너스스터디,서울시 관악구 신림로28길 49-8,02-876-2800
강동센트럴요양병원,서울시 강동구 올림픽로98길 8,02-441-0011
삼정초등학교,서울시 강서구 금낭화로  222,02-2661-2273
서울청담초등학교,서울시 강남구 압구정로71길 9,02-542-3779
문창중학교,서울시 동작구 여의대방로22나길 40,02-821-8587
이지스원보안학원,서울시 동대문구 왕산로  20,080-800-6080
무학중학교,서울시 성동구 고산자로 197,02-2298-6141
보인중고교,서울시 송파구 오금로49길 18,02-449-6017/02-2043-6021
서울대치초등학교,서울시 강남구 양재천로 363,02-555-2455
세륜초등학교,서울시 송파구 양재대로 1264,02-443-9561
대동세무 고등학교,서울시 종로구 계동길 84-10,02-763-1631
덕일전자공업고등학교,서울시 구로구 서해안로21길 5-12,02-2613-2762
한림학원,서울시 양천구 목동서로  35,
공중화장실24호,서울시 구로구 개봉로15길 58-2,
사당5동주민센터,서울시 동작구 사당로2가길 219,02-525-6076
한림초중연예예술고교,서울시 송파구 충민로 172,02-409-1021
진관초등학교,서울시 은평구 진관4로  78-16,02-386-3365
서울정심초등학교,서울시 금천구 독산로78다길  89,02-856-5188
문성유치원,서울시 강서구 우현로  8,02-2604-5543
배봉초등학교,서울시 동대문구 사가정로 193,02-2243-6502
답십리초등학교,서울시 동대문구 전농로3길 23,02-2242-9256
녹번리라어린이집,서울시 은평구 은평로 205-13,02-383-5363
성북정보도서관,서울시 성북구 화랑로18자길 13,02-962-1081
코리아병원,서울시 동대문구 장한로 143,02-2281-9999
고운타워(유앤유치과),서울시 관악구 양녕로 58,02-877-3067
후암동주민센터,서울시 용산구 후암로 32-6,02-2199-8400
망우3치안센터,서울시 중랑구 용마공원로5길 13,02-435-6815
홍제2동주민센터,서울시 서대문구 통일로34길 27,02-330-8127
신정2지구대,서울시 양천구 목동로17길 5,
당고개파출소,서울시 노원구 상계로 221,02-936-6350
은천동 복합청사,서울시 관악구 봉천로33나길  30,02-879-4231
영등포동 주민센터,서울시 영등포구 영등포로53길 22,02-2670-1450
망원우체국,서울시 마포구 월드컵로  111,02-337-0004 
서울여자간호대학교,서울시 서대문구 간호대로  38,02-2287-1700
YBM어학원,서울시 종로구 삼일대로20길 6,02-2279-0509
등촌고등학교,서울시 강서구 공항대로39길  115,02-3665-6045
광영고등학교,서울시 양천구 남부순환로30길 17,02-2650-2300
삼성초등학교,서울시 관악구 대학7길 52,02-877-9144
구일초등학교,서울시 구로구 구일로 68,02-869-9101
대림중학교,서울시 영등포구 시흥대로185길 6,02-845-2171
영훈중학교,서울시 강북구 도봉로13가길 19,02-944-7884
괴아어린이집,서울시 동작구 흑석로9길 48,
홍익지구대(동교치안센터),서울시 마포구 양화로 178-17,02-334-1610
광진우체국,서울시 광진구 강변역로 2,02-2049-0550
승무원학원 ,서울시 마포구 양화로 165,02-2038-8036
어울림어린이집,서울시 중랑구 상봉로28길 53-5,02-496-9497
벽산디지털밸리7차,서울시 구로구 디지털로33길 50,
아이에스비즈타워,서울시 성동구 성수이로  147,1544-5097
혜화여자고등학교,서울시 강북구 인수봉로  127,02-987-8342
학교법인숭의학원,서울시 중구 마른내로 41,
국립의료원,서울시 중구 서애로1길 17,02-1588-1775
동부요양병원,서울시 성동구 자동차시장1길 85,
구로생명숲어린이집,서울시 구로구 천왕로1길 5,02-2616-1677
면목38동 복합청사,서울시 중랑구 사가정로51길 48,
푸르니 강남미래나무 어린이집,서울시 강남구 봉은사로82길 23,02-2051-7331
도화어린이집,서울시 마포구 새창로4다길 18,02-718-8318
번3동 주민센터,서울시 강북구 한천로105길 21,02-901-2084
한화비즈메트로1차,서울시 강서구 양천로 551-17,
대진여자고등학교,서울시 노원구 공릉로 438,02-979-2327
덕산중학교,서울시 은평구 가좌로 400,02-353-9427
광운중학교,서울시 노원구 광운로1길 24,02-942-2293
부민병원,서울시 강서구 공항대로  389,02-1577-7582
서울대학교병원,서울시 종로구 대학로  101,02-2072-2114
날개병원,서울시 동대문구 무학로 193-1,02-959-9191
우리들병원,서울시 강남구 학동로 445,02-513-8000
이태원우체국,서울시 용산구 녹사평대로  212,02-798-2005
블루나인,서울시 강서구 양천로  583,02-6096-5625
이대부속중학교,서울시 서대문구 성산로 560,02-392-6176
동작경희병원,서울시 동작구 상도로 146,02-822-8112~4
명일중학교,서울시 강동구 양재대로156길 57,070-8650-5813
서울 메디칼센터 ,서울시 마포구 월드컵북로  165,
서연중학교,서울시 서대문구 연희로11마길 9-6,02-332-7375
성지병원,서울시 금천구 가산로  122,02-867-7056
둔촌고등학교,서울시 강동구 명일로 140,02-485-9873
반도정형외과병원,서울시 중구 을지로 245,02-2252-0202
서울대학교보건대학원,서울시 관악구 관악로  1,
은초롱어린이집,서울시 강북구 솔매로50길 69-7,02-982-5300
사임당어린이집,서울시 송파구 가락로11길 13,02-414-1866
정신여중고,서울시 송파구 올림픽로 4길-16,02-423-2775
숙명여대 창업보육센터,서울시 용산구 청파로47길 90,02-710-9035
삼성중학교,서울시 관악구 신림로3가길 39-24,02-871-6242
즐거운 도서관,서울시 강남구 영동대로65길 24,02-565-7533
영상고등학교,서울시 양천구 목동로11길 46,02-2602-7121
강남성심병원,서울시 영등포구 신길로 1,02-1577-5587
상계백병원,서울시 노원구 동일로 1342,02-950-1114
동산유치원,서울시 은평구 증산서길  88,02-302-1586
서울재동초등학교,서울시 종로구 북촌로4길 7,02-763-1812
행복한병원(삼부빌딩),서울시 중랑구 망우로 403,02-433-1195
진선 여자 중학교,서울시 강남구 선릉로85길 27,02-566-3103
최차혜병원,서울시 광진구 동일로30길 9,02-463-2311~4
이태원초등학교,서울시 용산구 녹사평대로40길 19,02-795-2809
서울청덕초등학교,서울시 성북구 정릉로9라길 11,02-914-8740
마들파출소,서울시 노원구 한글비석로 489,02-931-5001
코엑스 아티움(SM타운),서울시 강남구 삼성1동 무역센터 코엑스(COEX),
노블바렌티 예식장,서울시 강남구 봉은사로 637,
한화손해보험빌딩,서울시 서초구 서운로  3,
구일지구대,서울시 구로구 도림로 63,02-862-4008
퀸스메디산부인과,서울시 노원구 동일로 1059,02-948-7588
올리브타워,서울시 중구 을지로 264,
롯데시네마 신림,서울시 관악구 신림로  330,1544-8855
태랑초등학교,서울시 노원구 화랑로51나길 31,02-977-7384
서울연세요양병원,서울시 성북구 오패산로1길 1,02-912-1547
인수동주민센터,서울시 강북구 인수봉로 255,02-901-2132
상도1동주민센터,서울시 동작구 상도로47마길 4,02-815-3084
성북중앙병원,서울시 성북구 종암로 72,02-919-3404
2441아울렛천호점,서울시 강동구 구천면로 189,02-426-2001
빅마켓(롯데마트도봉점),서울시 도봉구 마들로 645,02-2289-2500
썬프라자,서울시 영등포구 신길로 41,02-831-9493
상봉1동주민센터,서울시 중랑구 상봉중앙로1길 6,02-2094-6240
월계3동주민센터,서울시 노원구 마들로 57,02-2116-2469
트라움하우스,서울시 강남구 언주로 564,
서울 잠실 학생체육관,서울시 송파구 잠실1동 10-3 종합운동장 내,
동대문세무서별관,서울시 성북구 보문로  52,
보성여자중학교,서울시 용산구 신흥로3가길 66,070-400-0313
해맑은사랑어린이집,서울시 은평구 진흥로5길 8-1,02-384-7898
잠실야구장,서울시 송파구 잠실1동 10,
국립중앙박물관 극장 용,서울시 용산구 용산동 6가 168-6번지,
안국우체국,서울시 종로구 율곡로 155,02-735-2005
역삼중학교,서울시 강남구 도곡로43길 10,02-558-1501
감리교신학대학,서울시 서대문구 통일로 139,02-3619-114
창일초,서울시 도봉구 노해로66길 84,02-996-9167
도봉고,서울시 도봉구 도봉산길 27,02-3491-4285
목동중학교,서울시 양천구 목동동로 172,02-2643-1103
노원세무소,서울시 도봉구 노해로69길  14,02-3499-0200
행당1동주민센터,서울시 성동구 고산자로10길  18,02-2286-7281
자생한방병원(대경프라자),서울시 양천구 신목로 102,02-1577-0007
대동초등학교,서울시 영등포구 대림로21길 6,02-833-7708
서울은진초등학교,서울시 은평구 진관1로  21-20,02-351-3691
해피키즈어린이집,서울시 송파구 송이로34길 6,02-407-7460
중랑구립정보도서관,서울시 중랑구 신내로15길  197,02-490-914
바른본병원,서울시 광진구 능동로 261,02-1577-9844
강북21세기병원,서울시 중랑구 동일로 890,02-1577-6336
베나다어린이집,서울시 양천구 남부순환로65길 16-1,
경신고등학교,서울시 종로구 혜화로 74,02-762-0393
삼정중학교,서울시 강서구 금낭화로  210,02-2666-6033
호서대벤처타워,서울시 금천구 가산디지털1로  70,02-2627-5983
구립성현햇살어린이집,서울시 관악구 관악로37길 65,02-878-6633
대륭포스트타워7차,서울시 구로구 디지털로33길 48,
월계3치안센터,서울시 노원구 마들로 55,02-971-4300
암사3동 주민센터,서울시 강동구 고덕로 137,02-3425-7640
옥수동주민센터,서울시 성동구 독서당로  205-1,02-2286-7401
CGV강변,서울시 강동구 성내로 48,1544-1122
호원아트홀,서울시 강동구 성안로3길 12,
송파나루공원 화장실,서울시 송파구 석촌호수로 17,02-412-0190
석관지구대,서울시 성북구 화랑로32가길 20,02-963-0844
서울여자대학교인문사회관,서울시 노원구 화랑로 621,02-970-5114
버틀러학원(방우빌딩),서울시 강남구 역삼로 530,02-547-7275
예지어린이집,서울시 중구 퇴계로20길 56,02-2252-4445
서울영재어린이집,서울시 구로구 오류로8길  151-1,02-2613-8296
W-MALL,서울시 금천구 디지털로 188,02-2081-0114
대학학원,서울시 양천구 오목로 325,02-2651-5151
씨이엘어학원,서울시 성동구 한림말길 18,02-2282-0706
파미에어린이집,서울시 강서구 양천로30길 109,
동광어린이집,서울시 구로구 구로중앙로28길 62,02-838-2500
노벨어린이집,서울시 중랑구 용마공원로 34-1,02-439-8053
자운고,서울시 도봉구 노해로69길 150,02-998-3365
참사랑어린이집,서울시 구로구 고척로  190,
삼선초등학교,서울시 성북구 보국문로29길  106,02-742-1847
강서농협하나로마트,서울시 강서구 금낭화로 287-10,02-2669-6000
화인웰산후조리원,서울시 성북구 보문로  35,02-929-2100
천연동주민센터,서울시 서대문구 성산로  694,02-330-8103
명일2동 주민센터,서울시 강동구 상암로 264,02-3425-7490
면목4동주민센터,서울시 중랑구 면목로 246,02-2094-6120
동국대학교,서울시 중구 환일길 47,02-2260-3114
서울신구초등학교,서울시 강남구 압구정로18길 28,02-549-6812
서낭당근린공원화장실(관리사무실),서울시 강서구 공항대로43길 46,
교남동 주민센터,서울시 종로구 송월길 154,02-2148-5183
역촌2동사무소,서울시 은평구 연서로  59,02-351-5302
삼성서울병원,서울시 강남구 일원로 81,02-1599-3114
명동예술극장,서울시 중구 명동길 35 명동예술극장,
산업연구원우체국,서울시 동대문구 회기로 66,02-963-3379
서울체육고등학교,서울시 송파구 강동대로 232,02-2140-9903
월계2치안센터,서울시 노원구 초안산로 2,02-995-4980
서울서부지법우체국,서울시 마포구 마포대로 174,
튼튼병원(용도변경),서울시 강남구 영동대로 713,02-1588-7562
명성학원 서부캠퍼스,서울시 은평구 은평로 186,02-353-3500
원수학,서울시 송파구 중대로 267,02-407-8852
어린이집,서울시 마포구 성미산로11길  5,
거여2동주민센터,서울시 송파구 거마로2길  1,02-2147-4090
서울대제2공학관,서울시 관악구 관악로  1,
숭실대학교,서울시 동작구 매봉로 43,02-820-0114
연세대학교 영빈관,서울시 서대문구 연세로 50,02-1599-1885
명지대학교 학생회관,서울시 서대문구 거북골로 34,
비트아카데미,서울시 서초구 강남대로53길  8,02-3486-9600
자연아이어린이집,서울시 송파구 삼전로4길  4,02-420-5280
가톨릭청년센터,서울시 마포구 월드컵북로2길 49,
롯데마트,서울시 강북구 삼양로 247,02-2248-2500
홈플러스 방학점,서울시 도봉구 도봉로 678,02-912-2080
대방동공중화장실,서울시 동작구 여의대방로24길 29,
NC백화점,서울시 강서구 강서로56길 17,02-2667-9000
미아동주민센터,서울시 강북구 솔매로49길 1-1,02-901-2014
국민건강보험공단광진지사,서울시 광진구 구의강변로 45,1577-1000
양강중학교,서울시 양천구 중앙로 319,02-2691-0869
서정초등학교,서울시 양천구 목동로8길 19,02-2648-7003
숭미파출소,서울시 도봉구 노해로  139,
하이트 치과의원(쌍봉빌딩),서울시 강남구 언주로  874,
대연빌딩(우리은행),서울시 관악구 남부순환로  1814,02-837-7800
기업은행,서울시 구로구 디지털로31길 19,02-867-0343
영등포병원,서울시 영등포구 당산로31길 10,02-2632-0013
월드메르디앙비즈센터,서울시 영등포구 양산로 53,02-2672-6064
한화비즈메트로2차,서울시 강서구 양천로  551-24,
서울대신양학술정보관,서울시 관악구 관악로  1,
모네여성병원,서울시 노원구 노원로 416,02-939-0300
청구성심병원,서울시 은평구 통일로  873,02-350-3300
튼튼병원,서울시 은평구 통일로 636,02-1588-7562
신촌연세병원,서울시 마포구 서강로 110,02-337-7582
하이마트상계점,서울시 노원구 동일로 1641,02-934-6007
농협하나로마트,서울시 중랑구 신내로  74,02-493-3080
현대백화점U-PLEX,서울시 서대문구 연세로 13,
제일병원(본관),서울시 중구 마른내로 9,02-2000-7114
도양라비앙타워빌딩(서울수치과),서울시 강서구 강서로  43,02-2607-3100
계상초등학교,서울시 노원구 한글비석로41가길 24,02-939-0872
서울대진초등학교,서울시 강남구 개포로109길 74,02-3412-0472
방산초등학교,서울시 송파구 오금로27길 42,02-420-5221
창동중,서울시 도봉구 방학로 32,02-2289-6646
한강초등학교,서울시 용산구 한강대로14길  9,02-795-0584
양천중학교,서울시 양천구 지양로7길  32,02-2694-2715
포근한맘요양병원,서울시 도봉구 삼양로 606,02-986-9977
석관중학교,서울시 성북구 한천로 526,02-962-2276
서울 압구정 초등학교,서울시 강남구 압구정로39길 29,02-3446-9646
HL의원(선기빌딩),서울시 강남구 논현로 648,
전농2동주민센터,서울시 동대문구 사가정로 137,02-2171-6140
천호3동 주민센터,서울시 강동구 진황도로23길 7,02-3425-7730
혜화동 주민센터,서울시 종로구 혜화로 12,02-2148-5333
상명대학교,서울시 종로구 홍지문2길 20,02-2287-5114
건국대학교 부속중학교,서울시 광진구 능동로 120,02-457-0318
사당중학교,서울시 동작구 사당로9가길 58,070-7510-5601
서울태릉초등학교,서울시 노원구 노원로1길 36,02-979-5157
강월초등학교,서울시 양천구 신월로 97,02-2605-0501
청담고등학교,서울시 강남구 압구정로 416,02-3496-8302
제나어린이집,서울시 성북구 삼선교로20길 21,02-929-9226
영등포평생학습관,서울시 영등포구 버드나루로15길  10,02-6712-7500
써니어린이집,서울시 은평구 증산로15길 26,
공릉중학교,서울시 노원구 노원로1길 42,02-971-5213
전신전화국가락지사,서울시 송파구 송파대로34길 44,
어린이집,서울시 성북구 보국문로17길 8,
창원초,서울시 도봉구 해등로  103,02-991-9167
창3동주민센터,서울시 도봉구 덕릉로62길   89,02-2289-1511
장충동주민센터,서울시 중구 다산로44길 85,02-3396-6620
세종문화회관,서울시 종로구 이화장길 26,02-399-1114
광진경찰서,서울시 광진구 자양로 167,02-455-0112
꿈나무어린이집,서울시 강북구 삼양로85길 4,
서울어학원(하나빌딩),서울시 강남구 압구정로30길 63-1,02-3452-7654
성동구립도서관,서울시 성동구 고산자로10길  9,02-2204-6420
재단법인한국SGI,서울시 강동구 성안로 ,
하계1치안센터,서울시 노원구 공릉로 290,02-971-2854 
국민건강보험노원지사,서울시 노원구 노해로 447,1577-1000
배재중학교,서울시 강동구 고덕로 227,02-441-9151
치현초등학교,서울시 강서구 방화대로47길 43,02-2661-6272
구산초등학교,서울시 은평구 서오릉로15길 16,02-387-7487
가리봉동주민센터,서울시 구로구 디지털로26길 5,02-2620-7700
삼환디지털벤처타워,서울시 성동구 아차산로15길  52,02-2024-0000
남성초등학교,서울시 동작구 사당로 146,02-595-5471
연신어린이집,서울시 은평구 통일로92길 30,
JEI PLATZ,서울시 금천구 가산디지털1로  186,02-2028-5000
모델솔루션㈜본사,서울시 금천구 벚꽃로20길 24,02-896-0318
불암중학교,서울시 노원구 한글비석로5길 45,02-975-4047
미병원,서울시 강남구 논현로168길 35,
한국체육대학,서울시 송파구 양재대로 1239,02-410-6700
성동교육청,서울시 성동구 고산자로 270,02-2286-3741
정석학원,서울시 서대문구 세검정로 95,02-396-3661
상경중학교,서울시 노원구 동일로227길 61,02-939-3951
휘경여자고등학교,서울시 동대문구 한천로 247,02-2245-2307
서울인창고등학교,서울시 서대문구 경기대로 65,02-363-3393
서울문교초등학교,서울시 금천구 독산로54길 102,02-896-0144
장학학원,서울시 송파구 삼전로  81,02-420-7879
성신여자고등학교,서울시 성북구 동소문로26가길  80,02-6930-9114
예향어린이집,서울시 은평구 통일로92길 11,02-353-2496
깊은샘어린이집,서울시 마포구 새터산길  1-6,02-308-4390
예원어린이집,서울시 강동구 천중로9길 32,02-489-2211
재활병원,서울시 강동구 양재대로 156,
강남초이스병원,서울시 관악구 남부순환로  1796,02-875-2200
관악초등학교,서울시 관악구 청룡4길 49,02-874-3832
성동패션콘다,서울시 성동구 성수이로 144,
해솔예술어린이집,서울시 금천구 시흥대로90길 63,
GS항외과의원,서울시 관악구 남부순환로 1669,02-875-7535
신림교회-몬테소리어린이집,서울시 관악구 난곡로24다길 7,
독산1동주민센터분소,서울시 금천구 한내로 67-17,02-802-3961
청파동주민센터,서울시 용산구 청파로49길 6,02-2199-8460
마포고등학교,서울시 강서구 화곡로 403,02-3663-2582
해커스어학원,서울시 서초구 강남대로61길  19,02-566-7471
서울대자연대(2324-자연과학대학),서울시 관악구 관악로 1,02-880-6500
홈플러스 문래점,서울시 영등포구 당산로  42,02-2165-8000
성가정어린이집,서울시 은평구 갈현로5길  25-19,02-383-4827
논현도서관,서울시 강남구 학동로43길 17,02-3443-7650
은명초등학교,서울시 은평구 은평로4길 21-9,02-359-9517
건국대학교병원,서울시 광진구 능동로 120-1,02-1588-1533
문래초등학교,서울시 영등포구 문래로   104,02-2677-6861
오산중학교,서울시 용산구 보광로7길 17,02-799-9400
갈현2동 주민센터,서울시 은평구 연서로27길 31-6,02-351-5122
현대?기아자동차 아트홀,서울시 서초구 양재동 231 (헌릉로 12),
송중동주민센터,서울시 강북구 오패산로 162,02-901-2232
그랜드 앰배서더 서울 그랜드 볼룸,서울시 중구 장충동 2가 186-54,
고원초등학교,서울시 구로구 경인로46길 13,02-2066-0960
행림초등학교,서울시 동작구 솔밭로 47,02-523-1352
화랑초등학교,서울시 노원구 화랑로 621,02-972-2261
개웅중학교,서울시 구로구 개봉로11길 81,02-2688-0907
경동요양병원,서울시 동대문구 약령시로 124,02-964-5028
서울연희초등학교,서울시 서대문구 연희로  136,02-324-3072
한국성서대학교(B동강당),서울시 노원구 동일로214길 32,02-950-5401
봉영여자중학교,서울시 양천구 목동동로2길  68,02-2648-7123
면목5동공중화장실,서울시 중랑구 봉우재로 168-1,
번1동주민센터,서울시 강북구 덕릉로41길 74,02-901-2064
어린이집 ,서울시 마포구 신촌로20길  15,02-717-0254
드림성형외과,서울시 강남구 논현로  848,02-546-1616
덕원여고,서울시 강서구 강서로45길  91-44,02-2660-7800
KBS방송공사,서울시 영등포구 여의공원로 13,02-781-1582
관세청 서울본부세관,서울시 강남구 학동로 212,02-510-1114
푸른솔 몬테소리 어린이집,서울시 중랑구 봉화산로22길 14,02-963-5004
적십자 간호대학교,서울시 종로구 경교장길  8,02-3700-3600
숭곡중학교,서울시 성북구 종암로 208,02-912-7571
광희동청사,서울시 중구 동호로5길 19,
삼일초등학교,서울시 동작구 사당로23나길 27,02-3477-9473
고척고등학교,서울시 구로구 중앙로15길 162,02-2684-1593
한건이엔씨학원,서울시 동대문구 답십리로 255,02-2249-2989
수도여자고등학교,서울시 동작구 여의대방로10길 73,02-2102-3506
세명컴퓨터고등학교,서울시 은평구 통일로92가길 33,02-354-1321
서울여자중학교,서울시 마포구 백범로25길 34,02-715-5155
아이티 윌 정보처리학원(여삼빌딩),서울시 강남구 역삼로 404,02-6255-8017
성바오로병원,서울시 동대문구 왕산로 180,02-958-2114
상계4동치안센터,서울시 노원구 상계로35길 29,02-936-5519 
웅진 패스원 강남캠퍼스 학원(삼경빌딩),서울시 강남구 강남대로78길 12,02-2052-3595
서울대대학원연구동(3동),서울시 관악구 관악로  1,
늘해랑어린이집,서울시 중랑구 상봉로26길 32,02-437-3230
상계동문화정보도서관,서울시 노원구 동일로243길 57,02-3391-7882
한신대학교신학대학원,서울시 강북구 인수봉로  159,02-2125-0114
연세대학교 신종합관,서울시 서대문구 연세로  50,
양재1동주민센터,서울시 서초구 바우뫼로 41,02-2155-7871
세종대학교애지헌,서울시 광진구 동일로44길 9,02-3408-3114
금호아트홀,서울시 종로구 대명길 28,02-6303-1977
롯데시네마 홍대입구,서울시 마포구 양화로  176,1544-8855
ACE트윈타워2차,서울시 구로구 디지털로 273,
망우1동치안센터,서울시 중랑구 망우로77길 12,
오산고등학교,서울시 용산구 보광로7길 17,02-799-9500
영동병원,서울시 동대문구 한천로 4,02-469-0017
갈곡리어린이공원 화장실,서울시 은평구 갈현로41길  3,
신월4동주민센터(신월정보문화센터),서울시 양천구 오목로5길 34,02-2620-4110
라원어린이집,서울시 송파구 마천로7길 7,02-3402-0050
시립대학교우체국,서울시 동대문구 서울시립대로  163,02-2213-0630
서초동우체국,서울시 서초구 반포대로 99,
노유자시설(어린이집),서울시 동작구 상도로34가길 23,02-825-0152
이솝어린이집,서울시 강서구 화곡로41길 19,02-2606-3900
양화중학교,서울시 영등포구 당산로   56,02-2633-9284
한국우진학교,서울시 마포구 월드컵북로38길   21,02-300-3565
서울애화학교,서울시 강북구 솔매로52길 31,02-987-5161
국사봉중학교,서울시 동작구 양녕로20길 20,02-822-3615
교동초등학교,서울시 종로구 삼일대로 446,02-765-2884
양화초등학교,서울시 양천구 목동중앙북로16길 57,02-2646-3510
녹번리라어린이집,서울시 은평구 은평로21길  19-4,02-383-5363
공항지구대,서울시 강서구 방화동로  5,02-2662-0372
